uri,nome,siglaSexo,dataNascimento,ufNascimento
https://dadosabertos.camara.leg.br/api/v2/deputados/74454,Eunício Oliveira,M,1952-09-30,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/178871,Evair Vieira de Melo,M,1972-04-02,ES
https://dadosabertos.camara.leg.br/api/v2/deputados/178905,Fabio Garcia,M,1977-06-29,DF
https://dadosabertos.camara.leg.br/api/v2/deputados/68720,Fábio Henrique,M,1972-06-19,SE
https://dadosabertos.camara.leg.br/api/v2/deputados/220681,Fábio Macedo,M,1981-09-18,MA
https://dadosabertos.camara.leg.br/api/v2/deputados/171623,Fabio Reis,M,1977-04-15,SE
https://dadosabertos.camara.leg.br/api/v2/deputados/204368,Fabio Schiochet,M,1988-05-31,SC
https://dadosabertos.camara.leg.br/api/v2/deputados/220653,Fábio Teruel,M,1971-10-22,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/74065,Fatima Pelaes,F,1959-02-13,AP
https://dadosabertos.camara.leg.br/api/v2/deputados/220712,Fausto Jr.,M,1992-12-20,AM
https://dadosabertos.camara.leg.br/api/v2/deputados/66828,Fausto Pinato,M,1977-06-01,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220646,Felipe Becari,M,1987-03-06,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/72442,Felipe Carreras,M,1975-04-16,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/204398,Felipe Francischini,M,1991-10-02,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/227370,Felipe Saliba,M,1980-06-12,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/160666,Félix Mendonça Júnior,M,1963-11-29,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/204407,Fernanda Melchionna,F,1984-02-02,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/220656,Fernanda Pessoa,F,1966-06-08,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/141431,Fernando Coelho Filho,M,1984-02-28,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/204445,Fernando Mineiro,M,1956-12-06,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/92699,Fernando Monteiro,M,1976-09-17,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/204427,Fernando Rodolfo,M,1983-11-17,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/204411,Filipe Barros,M,1991-05-29,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/220545,Filipe Martins,M,1984-04-01,GO
https://dadosabertos.camara.leg.br/api/v2/deputados/160598,Flávia Morais,F,1969-04-26,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/225727,Flavinha,F,1990-11-08,MT
https://dadosabertos.camara.leg.br/api/v2/deputados/191923,Flávio Nogueira,M,1953-02-27,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/220700,Florentino Neto,M,1969-10-05,PI
https://dadosabertos.camara.leg.br/api/v2/deputados/220551,Franciane Bayer,F,1987-10-09,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/204494,Fred Costa,M,1977-07-12,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/220534,Fred Linhares,M,1980-01-26,DF
https://dadosabertos.camara.leg.br/api/v2/deputados/224117,Gabriel Mota,M,1982-12-24,RR
https://dadosabertos.camara.leg.br/api/v2/deputados/220708,Gabriel Nunes,M,1983-07-23,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/204473,General Girão,M,1955-05-08,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/220611,General Pazuello,M,1963-07-19,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/178966,Geovania de Sá,F,1972-03-30,SC
https://dadosabertos.camara.leg.br/api/v2/deputados/220702,Geraldo Mendes,M,1985-12-05,SC
https://dadosabertos.camara.leg.br/api/v2/deputados/74374,Geraldo Resende,M,1955-04-20,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/220587,Gerlen Diniz,M,1974-04-08,AC
https://dadosabertos.camara.leg.br/api/v2/deputados/204394,Gervásio Maia,M,1975-04-14,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/74383,Giacobo,M,1970-12-17,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/204491,Gilberto Abramo,M,1966-08-06,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/74270,Gilberto Nascimento,M,1956-07-09,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220529,Gilson Daniel,M,1978-07-17,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/204365,Gilson Marques,M,1981-04-12,SC
https://dadosabertos.camara.leg.br/api/v2/deputados/220526,Gilvan da Federal,M,1976-09-24,MA
https://dadosabertos.camara.leg.br/api/v2/deputados/220531,Gilvan Maximo,M,1969-05-10,GO
https://dadosabertos.camara.leg.br/api/v2/deputados/160673,Giovani Cherini,M,1960-06-23,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/226179,Gisela Simona,F,1977-04-28,MT
https://dadosabertos.camara.leg.br/api/v2/deputados/152605,Glauber Braga,M,1982-06-26,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/229333,Gláucia Santiago,F,1960-02-20,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/204419,Glaustin da Fokus,M,1973-12-22,GO
